CSS_mapping,utterance,intent_level_3,intent_level_2,intent_level_1
The process of buying a new battery to replace an old or defective battery in a device,"i recently replaced notebook battery, now asking for replacement",purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,my battery is not charging anymore and i need a new battery,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,how to change my battery of laptop? the warranty is expired.,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,need replacement battery for this laptop,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,how can i order new battery for my laptob in egypt ?,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,my battery issue needs a battery replacement for the laptop,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,this laptop is getting old. is it possible to replace the battery?,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,need new batterie for my laptop hp pavilion - 15-cc060wm,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,"my laptop battery is low capacity, its ask me to replace it?",purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,battery not charging. can i get a free replacement battery please,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,what type of replacement battery do i need,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,where can i buy a battery,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,where can I buy battery from the philippines hp store for hp pavilion 14-ba100 x360 convertible laptop,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,where can i change my battery in stockholm?,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,where can i purchase a battery for my hp laptop,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,where can i purchase a replacement li-ion battery for my notebook and what is the part no for this item,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,where do i get a new battery?,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,where to get replacement battery,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,yes i need to order a replacement battery i wanna make sure i get the right one,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,replace swollen or deformed notebook battery,purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,"i want to buy a new battery. this one dies every night, even with the laptop turned off.",purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,"my laptop battery is low capacity, its ask me to replace it?",purchase replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,i want to buy battrey for my laptop,purchase replacement battery,Purchase Parts,Purchase Product
