intent_definition,l3_intent(master_intent),Example phrase,l2_intent,l1_intent
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,"i recently replaced notebook battery, now asking for replacement",Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,my battery is not charging anymore and i need a new battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,how to change my battery of laptop? the warranty is expired.,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,need replacement battery for this laptop,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,how can i order new battery for my laptob in egypt ?,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,my battery issue needs a battery replacement for the laptop,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,this laptop is getting old. is it possible to replace the battery?,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,need new batterie for my laptop hp pavilion - 15-cc060wm,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,"my laptop battery is low capacity, its ask me to replace it?",Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,battery not charging. can i get a free replacement battery please,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,what type of replacement battery do i need,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,where can i buy a battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,where can I buy battery from the philippines hp store for hp pavilion 14-ba100 x360 convertible laptop,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,where can i change my battery in stockholm?,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,where can i purchase a battery for my hp laptop,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,where can i purchase a replacement li-ion battery for my notebook and what is the part no for this item,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,where do i get a new battery?,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,where to get replacement battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,yes i need to order a replacement battery i wanna make sure i get the right one,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,replace swollen or deformed notebook battery,Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,"i want to buy a new battery. this one dies every night, even with the laptop turned off.",Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,"my laptop battery is low capacity, its ask me to replace it?",Purchase Parts,Purchase Product
The process of buying a new battery to replace an old or defective battery in a device,purchase replacement battery,i want to buy battrey for my laptop,Purchase Parts,Purchase Product
