phrase,l3_intent,l2_intent,l1_intent,category,intent_type,Source,Notes,Reviewed,changed,normalized_l3_intent
my printer stopped printing,unable to print issue,printing issue,print device,product issue,product issue,va,,,,unabletoprintissue
new printer not printing,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
april does not print,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
not printing from a specific computer,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
a does not print legibly when in duluth mode,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
i'm i just got instant ink straightened out and now that the printer is not printing anymore,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
won't print. did yesterday.,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
yes it says on my hp printer cannot print visit www hp instant x. dot com for information,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
new printer won't work,unable to print issue,printing issue,print device,product issue,product issue,va,,,,unabletoprintissue
printer is very new and since i got it it just doesn't ever work,unable to print issue,printing issue,print device,product issue,product issue,va,,,,unabletoprintissue
"my printer doesn't work ... it has an attitude, and works when it feels like it",unable to print issue,printing issue,print device,product issue,product issue,va,,,,unabletoprintissue
my hp printer is saying its offfline i can not print,unable to print issue,printing issue,print device,product issue,product issue,va,,,,unabletoprintissue
i cannot get my printer to work at all,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
why won't it let me print?,unable to print issue,printing issue,print device,product issue,product issue,va,,,,unabletoprintissue
yeah the printer doesn't work,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
my pregnant won't print from my computer,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
it says that i cannot print because there is an account issue,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
all right not printing,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
i'm unable to print on my nable to scan from my computer to my printer,unable to print issue,printing issue,print device,product issue,product issue,ivr,,,,unabletoprintissue
